id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66
c0dge,4347,4491,20278,975.0,103.0,4491.0,4425.0,1081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u0w7z,4347,105,108,105.0,881.0,735.0,867.0,105.0,4187.0,105.0,21040.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r51ws,20278,1059,103,20278.0,1027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levt9,760,1165,105,946.0,103.0,164.0,889.0,105.0,15342.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l6mgh,688,1433,709,1338.0,621.0,4275.0,905.0,2602.0,606.0,112.0,905.0,4615.0,102.0,607.0,1192.0,603.0,1433.0,760.0,9044.0,618.0,751.0,3379.0,102.0,603.0,1433.0,3752.0,7508.0,4498.0,1736.0,709.0,6532.0,606.0,4425.0,906.0,3065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wr857,867,1243,21040,1071.0,606.0,4347.0,1243.0,21355.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciayo,685,2207,8615,115.0,102.0,17980.0,1080.0,7362.0,2621.0,166.0,10477.0,697.0,103.0,1243.0,102.0,20022.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq09g,4347,1265,17980,1059.0,694.0,867.0,4187.0,15342.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fvbsb,26738,613,4425,1243.0,3835.0,117.0,603.0,2137.0,8355.0,610.0,976.0,701.0,605.0,1265.0,1027.0,1777.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3uji,685,2207,8615,989.0,102.0,21040.0,1027.0,24438.0,697.0,975.0,685.0,2207.0,8615.0,1195.0,102.0,21606.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nxjna,20242,8534,14151,1749.0,12516.0,5451.0,4521.0,2669.0,102.0,1357.0,103.0,4347.0,603.0,1433.0,709.0,4535.0,621.0,164.0,889.0,102.0,17980.0,1068.0,103.0,1159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm0c4,1338,621,12516,5451.0,4521.0,2669.0,102.0,1357.0,103.0,929.0,606.0,7943.0,102.0,20278.0,977.0,103.0,13638.0,1048.0,1356.0,709.0,1984.0,611.0,111.0,785.0,12516.0,5451.0,4521.0,2669.0,102.0,1357.0,103.0,929.0,606.0,7943.0,102.0,20278.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tj0fe,867,775,105,4350.0,606.0,929.0,105.0,1072.0,5032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t58j8,7943,15342,977,103.0,760.0,1165.0,17980.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s3j29,836,1455,17980,977.0,103.0,10477.0,697.0,989.0,102.0,20022.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ukpkb,836,15342,977,103.0,760.0,1593.0,8615.0,15342.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n7ugs,4491,105,109,105.0,17980.0,1071.0,103.0,929.0,105.0,1126.0,105.0,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d242m,836,105,21606,975.0,735.0,12516.0,5451.0,4521.0,2669.0,105.0,868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v71q2,867,105,1353,105.0,910.0,103.0,111.0,105.0,1455.0,105.0,20278.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l9bvy,20242,8534,14151,1749.0,12516.0,1143.0,102.0,21040.0,1080.0,103.0,4275.0,603.0,1433.0,709.0,4535.0,621.0,12516.0,1143.0,102.0,10795.0,103.0,976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n5rmh,7943,989,102,15881.0,1059.0,7362.0,2621.0,166.0,10477.0,697.0,103.0,4425.0,102.0,15342.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jop34,929,1244,105,4519.0,606.0,867.0,105.0,867.0,4073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esy0w,10477,697,1243,102.0,17980.0,1071.0,7362.0,2621.0,166.0,685.0,1464.0,103.0,1265.0,102.0,21040.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y1cqy,836,4187,102,17980.0,1045.0,24438.0,20645.0,161.0,824.0,10477.0,697.0,1127.0,102.0,15342.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
